,Instrument,Investor Perm Id,Investor Id,Investor Full Name,Investor Address Country,Investor Type Description ID,Fund Investment Style Code
0,SMBC.CI,,,,,,
1,SACL.ZI,,,,,,
2,SEMC.CI,,,,,,
3,ILV.MV,,,,,,
4,NITL.MV,,,,,,
5,TPCC.TZ,,,,,,
6,ZBFH.ZI,,,,,,
7,TTP.TZ,,,,,,
8,TCCL.TZ,,,,,,
9,FMB.MV,,,,,,
10,NBS.MV,,,,,,
11,SUNB.MV,,,,,,
12,MPICO.MV,,,,,,
13,DCB.TZ,,,,,,
14,NMB.TZ,,,,,,
15,COURTVI.LG,,,,,,
16,CRDB.TZ,,,,,,
17,NANG.LZ,,,,,,
18,PRIM.LZ,,,,,,
19,MCNICHO.LG,,,,,,
20,NIC.UG,,,,,,
21,BATZ.LZ,,,,,,
22,BATZ.LZ,,,,,,
23,BOAC.CI,,,,,,
24,RACPp.J,,,,,,
25,LHCJ.J,,,,,,
26,TNM.MV,,,,,,
27,CRESTA.BT,,,,,,
28,UHOMREI.LG,,,,,,
29,DANGCEM.LG,,,,,,
30,MULTITREX.LG,,,,,,
31,RBPJ.J,,,,,,
32,NPFMCRF.LG,,,,,,
33,BOABF.CI,,,,,,
34,MMPJ.J,,,,,,
35,OUTJ.J,,,,,,
36,IPFJ.J,,,,,,
37,LBTY.NR,,,,,,
38,REBJ.J,,,,,,
39,COHJ.J,,,,,,
40,LETL.BT,,,,,,
41,GOLI.MZ,,,,,,
42,BLR.RW,,,,,,
43,MPTJ.J,,,,,,
44,TCL.NR,,,,,,
45,BUCJ.J,34414031482,4262098,Bhalla (Amar),Canada,303,
46,BUCJ.J,,4130469,Bhalla (Amar),,303,
47,BUCJ.J,34413757104,3151053,Lavine (Marc B),Canada,303,
48,BUCJ.J,34414031853,3048306,Bharti (Stanley),Canada,303,
49,BUCJ.J,34413749299,3078839,Faught (George D),Canada,303,
50,BUCJ.J,34419905059,4129695,"Sood, Ravi",,303,
51,BUCJ.J,34413490891,3146531,MacGregor (Stuart),Canada,303,
52,BUCJ.J,34414042296,3093916,Campbell (Robert W),Canada,303,
53,BUCJ.J,34413670710,4272091,Kimel (Richard Michael),Canada,303,
54,BUCJ.J,,4130469,Bhalla (Amar),,303,
55,BUCJ.J,34413490891,3146531,MacGregor (Stuart),Canada,303,
56,BUCJ.J,34413670710,4272091,Kimel (Richard Michael),Canada,303,
57,BUCJ.J,,4262098,,,,
58,BUCJ.J,,4129695,,,,
59,BUCJ.J,,3151053,,,,
60,BUCJ.J,,3093916,,,,
61,BUCJ.J,,3078839,,,,
62,BUCJ.J,,3048306,,,,
63,TEXJ.J,,,,,,
64,DIBJ.J,,,,,,
65,BOK.RW,,,,,,
66,BRIT.NR,,,,,,
67,NAP.BT,,,,,,
68,FTAJ.J,,,,,,
69,SILPp.NM,,,,,,
70,PAL.TZ,,,,,,
71,TERA.MZ,,,,,,
72,CHOPP.BT,,,,,,
73,AUSTINLAZ.LG,,,,,,
74,SIT.MZ,,,,,,
75,LKL.NR,,,,,,
76,TCPJ.J,,,,,,
77,CIC.NR,,,,,,
78,FNBMIDJ.J,,,,,,
79,CIM.MZ,,,,,,
80,DLTJ.J,,,,,,
81,NHL.NM,,,,,,
82,UMEME.UG,,,,,,
83,MDIJ.J,,,,,,
84,UCAP.LG,,,,,,
85,AFRIPRU.LG,,,,,,
86,AGR.NM,,,,,,
87,ETFSAPJ.J,,,,,,
88,SHUMBA.BT,,,,,,
89,NGPLTJ.J,,,,,,
90,MLIJ.J,,,,,,
91,CGP.NM,,,,,,
92,HAFR.NR,,,,,,
93,ATTJ.J,,,,,,
94,ASCJ.J,,,,,,
95,APFJ.J,,,,,,
96,CWG.LG,,,,,,
97,UCHUMI.UG,,,,,,
98,ETFPLDJ.J,,,,,,
99,NGPLDJ.J,,,,,,
100,SARJ.J,,,,,,
101,ETFPLTJ.J,,,,,,
102,ETFGLDJ.J,,,,,,
103,THAJ.J,,,,,,
104,LVLTRXJ.J^H18,,,,,,
105,DIVTRXJ.J,,,,,,
106,AVLJ.J,,,,,,
107,LOTO.MZ,,,,,,
108,CAVERTON.LG,,,,,,
109,VISJ.J,,,,,,
110,MBP.TZ,,,,,,
111,SARE.MZ,,,,,,
112,KSTJ.J,,,,,,
113,EQUJ.J,,,,,,
114,AFHJ.J,,,,,,
115,MAFS.LZ,,,,,,
116,NSE.NR,,,,,,
117,SWALA.TZ,,,,,,
118,BTCL.BT,,,,,,
119,RFGJ.J,,,,,,
120,TRANSCOHOT.LG,,,,,,
121,QFHJ.J,,,,,,
122,NOV.MZ,,,,,,
123,LIVINGTRUST.LG,,,,,,
124,TTLS.CI,,,,,,
125,FTGH.NR,,,,,,
126,KCCGLDJ.J,,,,,,
127,KUR.NR,,,,,,
128,MEDVIEWAIR.LG,,,,,,
129,DNBJ.J,,,,,,
130,HILJ.J,,,,,,
131,ACSJ.J,,,,,,
132,IMRP7p.J,,,,,,
133,BOAS.CI,,,,,,
134,NVSJ.J,,,,,,
135,MFDG.MZ,,,,,,
136,MKCB.TZ,,,,,,
137,MAC.GH,,,,,,
138,IMR.RW,,,,,,
139,MCB.TZ,,,,,,
140,INFINITY.LG,,,,,,
141,VALUEFUND.LG,,,,,,
142,UPDCREIT.LG,,,,,,
143,ADB.GH,,,,,,
144,BOAM.CI,,,,,,
145,CTOP50J.J,,,,,,
146,IKUL.LZ,,,,,,
147,EIZP.LZ,,,,,,
148,ILUJ.J,,,,,,
149,PROL.ZI,,,,,,
150,RENJ.J,,,,,,
151,PEMJ.J,,,,,,
152,YETU.TZ,,,,,,
153,STANBIC.LG,,,,,,
154,VETIVA.LG,,,,,,
155,APL.MZ,,,,,,
156,DCPJ.J,,,,,,
157,BWNJ.J,,,,,,
158,SYGJ.J,,,,,,
159,TRLJ.J,,,,,,
160,CTAJ.J,,,,,,
161,IIL.GH,,,,,,
162,NOTORE.LG,,,,,,
163,SSSJ.J,,,,,,
164,SAMBA.GH,,,,,,
165,HORDS.GH,,,,,,
166,MMH.GH,,,,,,
167,MHBJ.J,,,,,,
