,Instrument,Investor Perm Id,Investor Id,Investor Full Name,Investor Address Country,Investor Type Description ID,Fund Investment Style Code
0,SMBC.CI,,,,,,
1,SACL.ZI,,,,,,
2,SEMC.CI,,,,,,
3,ILV.MV,,,,,,
4,NITL.MV,,,,,,
5,TPCC.TZ,,,,,,
6,ZBFH.ZI,,,,,,
7,TTP.TZ,,,,,,
8,TCCL.TZ,,,,,,
9,FMB.MV,,,,,,
10,NBS.MV,,,,,,
11,SUNB.MV,,,,,,
12,MPICO.MV,,,,,,
13,DCB.TZ,,,,,,
14,NMB.TZ,,,,,,
15,COURTVI.LG,,,,,,
16,CRDB.TZ,,,,,,
17,NANG.LZ,,,,,,
18,PRIM.LZ,,,,,,
19,MCNICHO.LG,,,,,,
20,NIC.UG,,,,,,
21,BATZ.LZ,5000706029,2006494,Blakeney LLP,United Kingdom,107,
22,BATZ.LZ,5000064072,2003708,Ninety One UK Limited,United Kingdom,113,
23,BATZ.LZ,5000221950,2003650,AllianceBernstein Ltd. (Growth),United Kingdom,113,
24,BATZ.LZ,,2003958,,,,Emerg. Mkts.
25,BATZ.LZ,5000064072,2003708,Ninety One UK Limited,United Kingdom,113,
26,BATZ.LZ,5000221950,2003650,AllianceBernstein Ltd. (Growth),United Kingdom,113,
27,BATZ.LZ,5000706029,2006494,Blakeney LLP,United Kingdom,107,
28,BATZ.LZ,5000057109,2003958,FIL Investment Management (Hong Kong) Limited,Hong Kong,107,
29,BOAC.CI,,,,,,
30,RACPp.J,,,,,,
31,LHCJ.J,,,,,,
32,TNM.MV,,,,,,
33,CRESTA.BT,,,,,,
34,UHOMREI.LG,,,,,,
35,DANGCEM.LG,,,,,,
36,MULTITREX.LG,,,,,,
37,RBPJ.J,,,,,,
38,NPFMCRF.LG,,,,,,
39,BOABF.CI,,,,,,
40,MMPJ.J,,,,,,
41,OUTJ.J,,,,,,
42,IPFJ.J,,,,,,
43,LBTY.NR,,,,,,
44,REBJ.J,,,,,,
45,COHJ.J,,,,,,
46,LETL.BT,,,,,,
47,GOLI.MZ,,,,,,
48,BLR.RW,,,,,,
49,MPTJ.J,,,,,,
50,TCL.NR,,,,,,
51,BUCJ.J,,,,,,
52,TEXJ.J,,,,,,
53,DIBJ.J,,,,,,
54,BOK.RW,,,,,,
55,BRIT.NR,,,,,,
56,NAP.BT,,,,,,
57,FTAJ.J,,,,,,
58,SILPp.NM,,,,,,
59,PAL.TZ,,,,,,
60,TERA.MZ,,,,,,
61,CHOPP.BT,,,,,,
62,AUSTINLAZ.LG,,,,,,
63,SIT.MZ,,,,,,
64,LKL.NR,,,,,,
65,TCPJ.J,,,,,,
66,CIC.NR,,,,,,
67,FNBMIDJ.J,,,,,,
68,CIM.MZ,,,,,,
69,DLTJ.J,,,,,,
70,NHL.NM,,,,,,
71,UMEME.UG,,,,,,
72,MDIJ.J,,,,,,
73,UCAP.LG,,,,,,
74,AFRIPRU.LG,,,,,,
75,AGR.NM,,,,,,
76,ETFSAPJ.J,,,,,,
77,SHUMBA.BT,,,,,,
78,NGPLTJ.J,,,,,,
79,MLIJ.J,,,,,,
80,CGP.NM,,,,,,
81,HAFR.NR,,,,,,
82,ATTJ.J,,,,,,
83,ASCJ.J,,,,,,
84,APFJ.J,,,,,,
85,CWG.LG,,,,,,
86,UCHUMI.UG,,,,,,
87,ETFPLDJ.J,,,,,,
88,NGPLDJ.J,,,,,,
89,SARJ.J,,,,,,
90,ETFPLTJ.J,,,,,,
91,ETFGLDJ.J,,,,,,
92,THAJ.J,,,,,,
93,LVLTRXJ.J^H18,,,,,,
94,DIVTRXJ.J,,,,,,
95,AVLJ.J,,,,,,
96,LOTO.MZ,,,,,,
97,CAVERTON.LG,,,,,,
98,VISJ.J,,,,,,
99,MBP.TZ,,,,,,
100,SARE.MZ,,,,,,
101,KSTJ.J,,,,,,
102,EQUJ.J,,,,,,
103,AFHJ.J,,,,,,
104,MAFS.LZ,,,,,,
105,NSE.NR,,,,,,
106,SWALA.TZ,,,,,,
107,BTCL.BT,,,,,,
108,RFGJ.J,,,,,,
109,TRANSCOHOT.LG,,,,,,
110,QFHJ.J,,,,,,
111,NOV.MZ,,,,,,
112,LIVINGTRUST.LG,,,,,,
113,TTLS.CI,,,,,,
114,FTGH.NR,,,,,,
115,KCCGLDJ.J,,,,,,
116,KUR.NR,,,,,,
117,MEDVIEWAIR.LG,,,,,,
118,DNBJ.J,,,,,,
119,HILJ.J,,,,,,
120,ACSJ.J,,,,,,
121,IMRP7p.J,,,,,,
122,BOAS.CI,,,,,,
123,NVSJ.J,,,,,,
124,MFDG.MZ,,,,,,
125,MKCB.TZ,,,,,,
126,MAC.GH,,,,,,
127,IMR.RW,,,,,,
128,MCB.TZ,,,,,,
129,INFINITY.LG,,,,,,
130,VALUEFUND.LG,,,,,,
131,UPDCREIT.LG,,,,,,
132,ADB.GH,,,,,,
133,BOAM.CI,,,,,,
134,CTOP50J.J,,,,,,
135,IKUL.LZ,,,,,,
136,EIZP.LZ,,,,,,
137,ILUJ.J,,,,,,
138,PROL.ZI,,,,,,
139,RENJ.J,,,,,,
140,PEMJ.J,,,,,,
141,YETU.TZ,,,,,,
142,STANBIC.LG,,,,,,
143,VETIVA.LG,,,,,,
144,APL.MZ,,,,,,
145,DCPJ.J,,,,,,
146,BWNJ.J,,,,,,
147,SYGJ.J,,,,,,
148,TRLJ.J,,,,,,
149,CTAJ.J,,,,,,
150,IIL.GH,,,,,,
151,NOTORE.LG,,,,,,
152,SSSJ.J,,,,,,
153,SAMBA.GH,,,,,,
154,HORDS.GH,,,,,,
155,MMH.GH,,,,,,
156,MHBJ.J,,,,,,
157,ATIL.MZ,,,,,,
158,LTEJ.J,,,,,,
159,FAHR.NR,,,,,,
160,ETFRHOJ.J,,,,,,
161,SNHJ.J,5000054512,2003672,JPMorgan Asset Management U.K. Limited,United Kingdom,113,
162,SNHJ.J,5000051932,2003066,"Nicholas-Applegate Capital Management, LLC_NLE",United States,107,
163,SNHJ.J,5000036750,2002451,AllianceBernstein L.P.,United States,113,
