,Instrument,Investor Perm Id,Investor Id,Investor Full Name,Investor Address Country,Investor Type Description ID,Fund Investment Style Code
0,SMBC.CI,,,,,,
1,SACL.ZI,,,,,,
2,SEMC.CI,,,,,,
3,ILV.MV,,,,,,
4,NITL.MV,,,,,,
5,TPCC.TZ,4295868961,2634960,HeidelbergCement AG,Germany,301,
6,TPCC.TZ,5035566579,9895315,PPF Pensions Fund,Tanzania,301,
7,TPCC.TZ,5000765103,9895929,Standard Chartered Bank Uganda,Uganda,301,
8,TPCC.TZ,5045624272,6272084,Public Service Pensions Fund.,Tanzania,301,
9,TPCC.TZ,5063311400,4027018,National Social Security Fund,China (Mainland),114,
10,TPCC.TZ,4296380501,2003347,Wasatch Global Investors Inc,United States,113,
11,TPCC.TZ,34423767137,9895922,Nasser (Murtaza Basheer),Tanzania,303,
12,TPCC.TZ,5051781501,9895624,UTT Asset Management and Investor Services PLC,Tanzania,107,
13,TPCC.TZ,48471692062,9895926,"Kadri (Sayed, Muzammil & Mehboob) & Kadro (Basharat)",Tanzania,306,
14,TPCC.TZ,4297369644,2637859,Public Investment Corporation (SOC) Limited,South Africa,114,
15,TPCC.TZ,34423767139,9895924,Bakhresa (Said Salim Awadh),Tanzania,303,
16,TPCC.TZ,34423767129,9895913,Rugumyamheto (Joseph),Tanzania,303,
17,TPCC.TZ,34423767132,9895914,Urassa (Oswald Martin),Tanzania,303,
18,TPCC.TZ,,9895929,,,,
19,TPCC.TZ,,9895926,,,,
20,TPCC.TZ,,9895924,,,,
21,TPCC.TZ,,9895922,,,,
22,TPCC.TZ,,9895914,,,,
23,TPCC.TZ,,9895913,,,,
24,TPCC.TZ,,9895624,,,,
25,TPCC.TZ,,9895315,,,,
26,TPCC.TZ,,6272084,,,,
27,TPCC.TZ,,4027018,,,,
28,TPCC.TZ,,2637859,,,,
29,TPCC.TZ,,2634960,,,,
30,TPCC.TZ,,2003347,,,,
31,ZBFH.ZI,,,,,,
32,TTP.TZ,,,,,,
33,TCCL.TZ,5043464717,9895945,AfriSam Mauritius Investment Holdings Ltd,Mauritius,301,
34,TCCL.TZ,48471677289,8558511,Rajabali (Aunali Fidahussein & Sajjad Fidahussein),Kenya,306,
35,TCCL.TZ,5045624272,6272084,Public Service Pensions Fund.,Tanzania,301,
36,TCCL.TZ,5063311400,4027018,National Social Security Fund,China (Mainland),114,
37,TCCL.TZ,5060591268,9895317,Parastatal Pension Fund,Tanzania,301,
38,TCCL.TZ,,9895877,Social Action Trust Fund,Tanzania,301,
39,TCCL.TZ,,9895960,Trustees of Tanga Cement Plc Employees Share Trust,Tanzania,301,
40,TCCL.TZ,5035566578,9895935,Government Employees Provident Fund,Tanzania,301,
41,TCCL.TZ,5000059423,2006764,Ashmore Investment Management Ltd.,United Kingdom,113,
42,TCCL.TZ,4297765030,2004653,Ashmore Equities Investment Management (US) LLC_NLE,United States,113,
43,TCCL.TZ,,9895960,,,,
44,TCCL.TZ,,9895945,,,,
45,TCCL.TZ,,9895935,,,,
46,TCCL.TZ,,9895877,,,,
47,TCCL.TZ,,9895317,,,,
48,TCCL.TZ,,8558511,,,,
49,TCCL.TZ,,6272084,,,,
50,TCCL.TZ,,4027018,,,,
51,TCCL.TZ,,2006764,,,,
52,TCCL.TZ,,2004653,,,,
53,FMB.MV,,,,,,
54,NBS.MV,,,,,,
55,SUNB.MV,,,,,,
56,MPICO.MV,,,,,,
57,DCB.TZ,,,,,,
58,NMB.TZ,5034174091,5853901,Rabobank Group,Netherlands,301,Yield
59,NMB.TZ,5080522355,9895310,Government Of Tanzania,Tanzania,304,
60,NMB.TZ,5037950343,5170999,National Investment Company Ltd.,United Kingdom,301,Yield
61,NMB.TZ,48471677289,8558511,Rajabali (Aunali Fidahussein & Sajjad Fidahussein),Kenya,306,
62,NMB.TZ,,9895314,Exim Bank Tanzania,Tanzania,301,
63,NMB.TZ,5060591268,9895317,Parastatal Pension Fund,Tanzania,301,
64,NMB.TZ,4297281254,2490227,Standard Bank Plc.,United Kingdom,113,Yield
65,NMB.TZ,5062803320,9895321,"TCCIA Investment Company, Ltd.",Tanzania,301,
66,NMB.TZ,5001448923,2003661,T. Rowe Price International Ltd,United Kingdom,113,Yield
67,NMB.TZ,4296380501,2003347,Wasatch Global Investors Inc,United States,113,
68,NMB.TZ,5000059423,2006764,Ashmore Investment Management Ltd.,United Kingdom,113,
69,NMB.TZ,4297765030,2004653,Ashmore Equities Investment Management (US) LLC_NLE,United States,113,GARP
70,NMB.TZ,5000050199,2005972,Templeton Asset Management Ltd.,Singapore,107,
71,NMB.TZ,5001448923,2003661,T. Rowe Price International Ltd,United Kingdom,113,
72,NMB.TZ,4296380501,2003347,Wasatch Global Investors Inc,United States,113,
73,NMB.TZ,5000059423,2006764,Ashmore Investment Management Ltd.,United Kingdom,113,
74,NMB.TZ,4297765030,2004653,Ashmore Equities Investment Management (US) LLC_NLE,United States,113,
75,NMB.TZ,5000050199,2005972,Templeton Asset Management Ltd.,Singapore,107,
76,NMB.TZ,,9895321,,,,
77,NMB.TZ,,9895317,,,,
78,NMB.TZ,,9895314,,,,
79,NMB.TZ,,9895310,,,,
80,NMB.TZ,,8558511,,,,
81,NMB.TZ,,5853901,,,,
82,NMB.TZ,,5170999,,,,
83,NMB.TZ,,2490227,,,,
84,COURTVI.LG,,,,,,
85,CRDB.TZ,5046146052,9895311,DANIDA Investment Fund,Denmark,301,
86,CRDB.TZ,5080522355,9895310,Government Of Tanzania,Tanzania,304,Aggres. Gr.
87,CRDB.TZ,,6234227,CDC Group plc,United Kingdom,111,
88,CRDB.TZ,48471677289,8558511,Rajabali (Aunali Fidahussein & Sajjad Fidahussein),Kenya,306,Aggres. Gr.
89,CRDB.TZ,5000050478,2001970,PineBridge Investments LLC,United States,113,
90,CRDB.TZ,,9895326,General Partners IV Ltd.,Tanzania,301,
91,CRDB.TZ,,9895327,LAPF Pensions Fund,Tanzania,301,
92,CRDB.TZ,5000706029,2006494,Blakeney LLP,United Kingdom,107,
93,CRDB.TZ,,9895606,PSPF Pension Fund,Tanzania,301,
