,Instrument,Investor Perm Id,Investor Id,Investor Full Name,Investor Address Country,Investor Type Description ID,Fund Investment Style Code
0,SMBC.CI,,,,,,
1,SACL.ZI,,,,,,
2,SEMC.CI,,,,,,
3,ILV.MV,,,,,,
4,NITL.MV,,,,,,
5,TPCC.TZ,,,,,,
6,ZBFH.ZI,,,,,,
7,TTP.TZ,,,,,,
8,TCCL.TZ,,,,,,
9,FMB.MV,,,,,,
10,NBS.MV,,,,,,
11,SUNB.MV,,,,,,
12,MPICO.MV,,,,,,
13,DCB.TZ,,,,,,
14,NMB.TZ,,,,,,
15,COURTVI.LG,,,,,,
16,CRDB.TZ,,,,,,
17,NANG.LZ,,,,,,
18,PRIM.LZ,,,,,,
19,MCNICHO.LG,,,,,,
20,NIC.UG,,,,,,
21,BATZ.LZ,,,,,,
22,BOAC.CI,,,,,,
23,RACPp.J,5000749186,2636816,Regarding Capital Management (Pty) Ltd.,South Africa,113,
24,RACPp.J,5000068710,2445138,Foord Asset Management (Pty) Limited,South Africa,113,
25,RACPp.J,5000660468,3879199,Aylett & Company (Pty) Ltd,South Africa,113,Core Growth
26,RACPp.J,5000131279,2005221,Ninety One SA Pty Ltd.,South Africa,113,
27,RACPp.J,,3879199,,,,
28,RACPp.J,,2636816,,,,
29,RACPp.J,,2445138,,,,
30,RACPp.J,,2005221,,,,
31,LHCJ.J,5001154193,5544359,Health Strategic Investments Ltd,South Africa,301,Specialty
32,LHCJ.J,5000066393,2004359,Old Mutual Investment Group (South Africa) (Pty) Limited,South Africa,113,Income Value
33,LHCJ.J,5035502665,5544360,Life Doctor Investments Ltd. ((Docvest),South Africa,301,Core Value
34,LHCJ.J,4296537663,2639737,International Finance Corporation,United States,301,Specialty
35,LHCJ.J,4297369644,2637859,Public Investment Corporation (SOC) Limited,South Africa,114,Emerg. Mkts.
36,LHCJ.J,5001449709,2657747,Industrial Development Corporation of South Africa Limited (IDC),South Africa,114,GARP
37,LHCJ.J,5000003949,2132705,STANLIB Asset Management Ltd.,South Africa,107,Core Value
38,LHCJ.J,4295888825,3681241,New Bond Capital Ltd,South Africa,301,Emerg. Mkts.
39,LHCJ.J,5000280296,2003003,"BlackRock Investment Management, LLC",United States,113,Emerg. Mkts.
40,LHCJ.J,5000038441,2003815,Columbia Threadneedle Investments (UK),United Kingdom,113,Growth
41,LHCJ.J,4298459126,2132706,Allan Gray Proprietary Limited,South Africa,107,Specialty
42,LHCJ.J,4297836130,2003245,State Street Global Advisors (US),United States,113,Specialty
43,LHCJ.J,5000667881,2005965,Norges Bank Investment Management (NBIM),Norway,114,Income Value
44,LHCJ.J,5000068977,2003710,Aviva Investors Global Services Limited,United Kingdom,113,Yield
45,LHCJ.J,5001448923,2003661,T. Rowe Price International Ltd,United Kingdom,113,Core Value
46,LHCJ.J,,5973199,Electus Fund Managers Proprietary Limited_NLE,South Africa,113,Specialty
47,LHCJ.J,5001172343,2006474,Artisan Partners Limited Partnership,United States,107,Index
48,LHCJ.J,4298106595,2915245,Abax Investments (Pty) Limited,South Africa,113,Sector Specific
49,LHCJ.J,5000131279,2005221,Ninety One SA Pty Ltd.,South Africa,113,Emerg. Mkts.
50,LHCJ.J,4295863266,2106679,Fiera Capital (UK) Limited,United Kingdom,113,Core Growth
51,LHCJ.J,4297846357,2005931,"McKinley Capital Management, LLC",United States,113,Emerg. Mkts.
52,LHCJ.J,5000062040,2621326,Simplicity AB,Sweden,113,Emerg. Mkts.
53,LHCJ.J,5000062654,2575181,"Neuberger Berman, LLC",United States,113,Emerg. Mkts.
54,LHCJ.J,4297044369,2002921,"Lazard Asset Management, L.L.C.",United States,113,Core Value
55,LHCJ.J,5000074303,2002658,"Dimensional Fund Advisors, L.P.",United States,113,Core Value
56,LHCJ.J,4296571296,2002423,CI Global Asset Management,Canada,113,Emerg. Mkts.
57,LHCJ.J,5000041720,2005443,City of London Investment Management Co. Ltd.,United Kingdom,107,Emerg. Mkts.
58,LHCJ.J,5000075434,2659824,Reyl & Cie S.A.,Switzerland,113,Emerg. Mkts.
59,LHCJ.J,5000317033,2002346,Parametric Portfolio Associates LLC,United States,107,Yield
60,LHCJ.J,5000050241,2003441,KBC Asset Management N.V.,Belgium,107,Core Value
61,LHCJ.J,5035706510,10392359,Liontrust Investment Partners LLP,United Kingdom,107,Specialty
62,LHCJ.J,5000749182,2403920,Taquanta Asset Managers (Pty) Ltd,South Africa,107,Core Value
63,LHCJ.J,5000034603,405602,GE Asset Management Inc._NLE,United States,113,Emerg. Mkts.
64,LHCJ.J,5000659351,3967061,"Global Index Advisors, Inc._NLE",United States,107,Specialty
65,LHCJ.J,5000837998,5499973,"QS Investors, LLC",United States,113,GARP
66,LHCJ.J,5000026182,2003198,"DWS Investment Management Americas, Inc.",United States,113,Core Value
67,LHCJ.J,,5973199,,,,Aggres. Gr.
68,LHCJ.J,,5544360,,,,Index
69,LHCJ.J,,5544359,,,,Specialty
70,LHCJ.J,,5499973,,,,GARP
71,LHCJ.J,,405602,,,,International
72,LHCJ.J,,3967061,,,,Specialty
73,LHCJ.J,,3681241,,,,Core Growth
74,LHCJ.J,,2915245,,,,Index
75,LHCJ.J,,2659824,,,,Index
76,LHCJ.J,,2657747,,,,Index
77,LHCJ.J,,2639737,,,,Index
78,LHCJ.J,,2637859,,,,Index
79,LHCJ.J,,2621326,,,,Index
80,LHCJ.J,,2575181,,,,GARP
81,LHCJ.J,,2403920,,,,GARP
82,LHCJ.J,,2132706,,,,Specialty
83,LHCJ.J,,2132705,,,,Core Growth
84,LHCJ.J,,2106679,,,,Index
85,LHCJ.J,,2006474,,,,Core Growth
86,LHCJ.J,,2005965,,,,
87,LHCJ.J,,2005931,,,,
88,LHCJ.J,,2005443,,,,
89,LHCJ.J,,2005221,,,,
90,LHCJ.J,,2004359,,,,
91,LHCJ.J,,2003815,,,,
92,LHCJ.J,,2003710,,,,
93,LHCJ.J,,2003661,,,,
94,LHCJ.J,,2003441,,,,
95,LHCJ.J,,2003245,,,,
96,LHCJ.J,,2003198,,,,
97,LHCJ.J,,2003003,,,,
